verification_status	already_in_corpus	name	organization	location	category	living_or_deceased	claimed_main_url	claimed_blog_or_articles_url	archive_url	other_urls	claimed_written_content_exists	claimed_licensing_status	claimed_platform_size	discovery_paths	corpus_match_notes	claims_source	notes	date_added	agent_verified_has_blog	agent_verification_notes	reviewed_at	review_notes	auto_link_check	auto_link_check_at	site_visited_by_human	author_identity_confirmed	licensing_posture_confirmed	content_type_confirmed	clearance_checked_at	clearance_cost_lane	blog_index_url
rejected	FALSE	Andrew Murray — Additional Titles								https://www.olddeadguys.com/andrew-murray; https://archive.org/search?query=andrew+murray&mediatype=texts				pre-existing: frontend admin-panel research-target card (pre-dates the discovery-round tracking structure)		carried over from the original hardcoded frontend research-target list, not from an automated research pass	More Andrew Murray works beyond the 4 already ingested. Available on olddeadguys.com and Internet Archive.	2026-08-19			2026-08-25T18:17:37.149971+00:00	Passed on via review tool			FALSE	FALSE	FALSE	FALSE			
rejected	FALSE	Azusa Street — Apostolic Faith Magazine								https://place.asburyseminary.edu/apostolicfaith/				pre-existing: frontend admin-panel research-target card (pre-dates the discovery-round tracking structure)		carried over from the original hardcoded frontend research-target list, not from an automated research pass	13 issues of the original Apostolic Faith newsletter from the Azusa Street Revival (1906–1908). Primary source documents of the Pentecostal movement.	2026-08-19			2026-08-25T18:18:35.059711+00:00	Passed on via review tool			FALSE	FALSE	FALSE	FALSE			
rejected	FALSE	Consortium of Pentecostal Archives								https://www.pentecostalarchives.org				pre-existing: frontend admin-panel research-target card (pre-dates the discovery-round tracking structure)		carried over from the original hardcoded frontend research-target list, not from an automated research pass	Digital archives from Pentecostal and charismatic institutions. Explore for freely downloadable primary source documents.	2026-08-19			2026-08-25T18:19:26.620570+00:00	Passed on via review tool			FALSE	FALSE	FALSE	FALSE			
rejected	FALSE	Frank Bartleman — Azusa Street Writings								https://archive.org/search?query=frank+bartleman&mediatype=texts				pre-existing: frontend admin-panel research-target card (pre-dates the discovery-round tracking structure)		carried over from the original hardcoded frontend research-target list, not from an automated research pass	Frank Bartleman’s firsthand accounts of the Azusa Street Revival. Multiple titles available on Internet Archive.	2026-08-19			2026-08-25T18:19:32.475171+00:00	Passed on via review tool			FALSE	FALSE	FALSE	FALSE			
rejected	FALSE	STEPBible — TIPNR (Proper Names)								https://github.com/STEPBible/STEPBible-Data				pre-existing: frontend admin-panel research-target card (pre-dates the discovery-round tracking structure)		carried over from the original hardcoded frontend research-target list, not from an automated research pass	Every proper noun in the Bible with exhaustive references, family relationships, geolocation, and descriptions. CC BY 4.0.	2026-08-19			2026-08-25T18:19:35.122737+00:00	Passed on via review tool			FALSE	FALSE	FALSE	FALSE			
rejected	FALSE	STEPBible — TAHOT (Hebrew OT) Additional Books								https://github.com/STEPBible/STEPBible-Data/tree/master/Translators%20Amalgamated%20OT%2BNT				pre-existing: frontend admin-panel research-target card (pre-dates the discovery-round tracking structure)		carried over from the original hardcoded frontend research-target list, not from an automated research pass	Already ingested full OT. This card is for reference if re-ingestion or updates are needed.	2026-08-19			2026-08-25T18:19:36.275848+00:00	Passed on via review tool			FALSE	FALSE	FALSE	FALSE			
unverified	TRUE	Bill Johnson	Bethel Church	Redding CA	practitioner_teacher	unknown	https://bjm.org/	https://bjm.org/			TRUE	standard copyright	large global	Round 1, Seed A (Send Conference network map)	Matches existing corpus source 'Bill Johnson' (id f2004ddf-7a85-4da8-972d-4d82aeb311df).	Automated research tool inferring from search results (Round 1-2 Send Conference network-mapping / grassroots pass, 2026-08-19) -- content type, licensing, and platform size are inferred claims, not confirmed by visiting any site. No URLs were captured in this pass.	has articles/books/devotionals	2026-08-19	False	real_url: https://bjm.org/resources-list/ | authorship: single | scale: No written content -- product/video catalog only. | red_flags: Claimed content type overstated; no articles or devotionals found.			looks_like_blog	2026-08-25T18:29:51.847051+00:00	FALSE	FALSE	FALSE	FALSE			
rejected	FALSE	Ben Fitzgerald	Awakening Europe / Awakening Church	Eimeldingen Germany	practitioner_teacher	unknown	https://awakeningeurope.com/ben-fitzgerald	https://awakeningeurope.com/			TRUE	standard copyright	SMALL LOCAL CHURCH	Round 1, Seed A (Send Conference network map)		Automated research tool inferring from search results (Round 1-2 Send Conference network-mapping / grassroots pass, 2026-08-19) -- content type, licensing, and platform size are inferred claims, not confirmed by visiting any site. No URLs were captured in this pass.	ministry updates, essays	2026-08-19	False	real_url: https://awakeningeurope.com/ben-fitzgerald | authorship: unclear | scale: None -- static bio/event page. | red_flags: No blog anywhere; site is event/promo oriented.	2026-08-27T18:56:04.974801+00:00	Passed on via review tool	looks_like_blog	2026-08-25T18:29:52.933034+00:00	FALSE	FALSE	FALSE	FALSE			
unverified	FALSE	Kris Vallotton	Bethel Church / BSSM		practitioner_teacher	unknown	https://www.krisvallotton.com/	https://www.krisvallotton.com/identity			TRUE	standard copyright	large	Round 1, Seed A (Send Conference network map)		Automated research tool inferring from search results (Round 1-2 Send Conference network-mapping / grassroots pass, 2026-08-19) -- content type, licensing, and platform size are inferred claims, not confirmed by visiting any site. No URLs were captured in this pass.	active personal blog	2026-08-19	True	real_url: https://www.krisvallotton.com/blog | authorship: single | scale: Multi-category active blog, most recent post Dec 31 2025, substantial archive. | red_flags: None.			check_failed	2026-08-25T18:29:53.153273+00:00	FALSE	FALSE	FALSE	FALSE			
unverified	FALSE	Shawn Bolz	Bolz Ministries / iCreate		practitioner_teacher	unknown	https://bolzministries.com/	https://bolzministries.com/blogs/news			TRUE	standard copyright	large	Round 1, Seed A (Send Conference network map)		Automated research tool inferring from search results (Round 1-2 Send Conference network-mapping / grassroots pass, 2026-08-19) -- content type, licensing, and platform size are inferred claims, not confirmed by visiting any site. No URLs were captured in this pass.	ebooks, written devotionals	2026-08-19	True	real_url: https://bolzministries.com/category/blog-post/ | authorship: unclear -- both Shawn and Cherie Bolz referenced near different posts, no clean per-post attribution | scale: 50+ posts, Jan 2020-Jan 2025. | red_flags: Real misattribution risk -- per-post byline check required, cannot assume single-author.			no_blog_detected	2026-08-25T18:29:54.407993+00:00	FALSE	FALSE	FALSE	FALSE			
