/Users/alexwhitley/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
Loaded 1841 entries from existing index.json
Cleaning 9 existing files from raw/...

750 unique pages to fetch
Estimated time (no cache): ~37 minutes

[PROGRESS] Pages: 10/750 done, 740 remaining | Live: 0 | Cached: 10 | Errors: 0 | Extracted: 32 | Failed: 4
[PROGRESS] Pages: 20/750 done, 730 remaining | Live: 10 | Cached: 10 | Errors: 0 | Extracted: 64 | Failed: 4
[PROGRESS] Pages: 30/750 done, 720 remaining | Live: 20 | Cached: 10 | Errors: 0 | Extracted: 86 | Failed: 4
[PROGRESS] Pages: 40/750 done, 710 remaining | Live: 30 | Cached: 10 | Errors: 0 | Extracted: 117 | Failed: 4
[PROGRESS] Pages: 50/750 done, 700 remaining | Live: 40 | Cached: 10 | Errors: 0 | Extracted: 155 | Failed: 7
[PROGRESS] Pages: 60/750 done, 690 remaining | Live: 50 | Cached: 10 | Errors: 0 | Extracted: 187 | Failed: 7
[PROGRESS] Pages: 70/750 done, 680 remaining | Live: 60 | Cached: 10 | Errors: 0 | Extracted: 224 | Failed: 9
[PROGRESS] Pages: 80/750 done, 670 remaining | Live: 70 | Cached: 10 | Errors: 0 | Extracted: 247 | Failed: 11
[PROGRESS] Pages: 90/750 done, 660 remaining | Live: 80 | Cached: 10 | Errors: 0 | Extracted: 278 | Failed: 11
[PROGRESS] Pages: 100/750 done, 650 remaining | Live: 90 | Cached: 10 | Errors: 0 | Extracted: 304 | Failed: 11
[PROGRESS] Pages: 110/750 done, 640 remaining | Live: 100 | Cached: 10 | Errors: 0 | Extracted: 333 | Failed: 12
[PROGRESS] Pages: 120/750 done, 630 remaining | Live: 110 | Cached: 10 | Errors: 0 | Extracted: 376 | Failed: 12
[PROGRESS] Pages: 130/750 done, 620 remaining | Live: 120 | Cached: 10 | Errors: 0 | Extracted: 403 | Failed: 12
[PROGRESS] Pages: 140/750 done, 610 remaining | Live: 130 | Cached: 10 | Errors: 0 | Extracted: 445 | Failed: 12
[PROGRESS] Pages: 150/750 done, 600 remaining | Live: 140 | Cached: 10 | Errors: 0 | Extracted: 482 | Failed: 15
[PROGRESS] Pages: 160/750 done, 590 remaining | Live: 150 | Cached: 10 | Errors: 0 | Extracted: 526 | Failed: 15
[PROGRESS] Pages: 170/750 done, 580 remaining | Live: 160 | Cached: 10 | Errors: 0 | Extracted: 556 | Failed: 16
[PROGRESS] Pages: 180/750 done, 570 remaining | Live: 170 | Cached: 10 | Errors: 0 | Extracted: 595 | Failed: 17
[PROGRESS] Pages: 190/750 done, 560 remaining | Live: 180 | Cached: 10 | Errors: 0 | Extracted: 629 | Failed: 20
[PROGRESS] Pages: 200/750 done, 550 remaining | Live: 190 | Cached: 10 | Errors: 0 | Extracted: 649 | Failed: 23
[PROGRESS] Pages: 210/750 done, 540 remaining | Live: 200 | Cached: 10 | Errors: 0 | Extracted: 676 | Failed: 23
[PROGRESS] Pages: 220/750 done, 530 remaining | Live: 210 | Cached: 10 | Errors: 0 | Extracted: 704 | Failed: 24
[PROGRESS] Pages: 230/750 done, 520 remaining | Live: 220 | Cached: 10 | Errors: 0 | Extracted: 741 | Failed: 24
[PROGRESS] Pages: 240/750 done, 510 remaining | Live: 230 | Cached: 10 | Errors: 0 | Extracted: 772 | Failed: 26
[PROGRESS] Pages: 250/750 done, 500 remaining | Live: 240 | Cached: 10 | Errors: 0 | Extracted: 795 | Failed: 26
[PROGRESS] Pages: 260/750 done, 490 remaining | Live: 250 | Cached: 10 | Errors: 0 | Extracted: 840 | Failed: 27
[PROGRESS] Pages: 270/750 done, 480 remaining | Live: 260 | Cached: 10 | Errors: 0 | Extracted: 865 | Failed: 27
[PROGRESS] Pages: 280/750 done, 470 remaining | Live: 270 | Cached: 10 | Errors: 0 | Extracted: 889 | Failed: 27
[PROGRESS] Pages: 290/750 done, 460 remaining | Live: 280 | Cached: 10 | Errors: 0 | Extracted: 913 | Failed: 27
[PROGRESS] Pages: 300/750 done, 450 remaining | Live: 290 | Cached: 10 | Errors: 0 | Extracted: 927 | Failed: 27
[PROGRESS] Pages: 310/750 done, 440 remaining | Live: 300 | Cached: 10 | Errors: 0 | Extracted: 953 | Failed: 29
[PROGRESS] Pages: 320/750 done, 430 remaining | Live: 310 | Cached: 10 | Errors: 0 | Extracted: 985 | Failed: 29
[PROGRESS] Pages: 330/750 done, 420 remaining | Live: 320 | Cached: 10 | Errors: 0 | Extracted: 1004 | Failed: 31
[PROGRESS] Pages: 340/750 done, 410 remaining | Live: 330 | Cached: 10 | Errors: 0 | Extracted: 1034 | Failed: 31
[PROGRESS] Pages: 350/750 done, 400 remaining | Live: 340 | Cached: 10 | Errors: 0 | Extracted: 1051 | Failed: 33
[PROGRESS] Pages: 360/750 done, 390 remaining | Live: 350 | Cached: 10 | Errors: 0 | Extracted: 1077 | Failed: 34
[PROGRESS] Pages: 370/750 done, 380 remaining | Live: 360 | Cached: 10 | Errors: 0 | Extracted: 1104 | Failed: 34
[PROGRESS] Pages: 380/750 done, 370 remaining | Live: 370 | Cached: 10 | Errors: 0 | Extracted: 1136 | Failed: 34
[PROGRESS] Pages: 390/750 done, 360 remaining | Live: 380 | Cached: 10 | Errors: 0 | Extracted: 1162 | Failed: 34
[PROGRESS] Pages: 400/750 done, 350 remaining | Live: 390 | Cached: 10 | Errors: 0 | Extracted: 1198 | Failed: 35
[PROGRESS] Pages: 410/750 done, 340 remaining | Live: 400 | Cached: 10 | Errors: 0 | Extracted: 1229 | Failed: 35
[PROGRESS] Pages: 420/750 done, 330 remaining | Live: 410 | Cached: 10 | Errors: 0 | Extracted: 1251 | Failed: 35
[PROGRESS] Pages: 430/750 done, 320 remaining | Live: 420 | Cached: 10 | Errors: 0 | Extracted: 1271 | Failed: 37
[PROGRESS] Pages: 440/750 done, 310 remaining | Live: 430 | Cached: 10 | Errors: 0 | Extracted: 1293 | Failed: 37
[PROGRESS] Pages: 450/750 done, 300 remaining | Live: 440 | Cached: 10 | Errors: 0 | Extracted: 1319 | Failed: 38
[PROGRESS] Pages: 460/750 done, 290 remaining | Live: 450 | Cached: 10 | Errors: 0 | Extracted: 1337 | Failed: 38
[PROGRESS] Pages: 470/750 done, 280 remaining | Live: 460 | Cached: 10 | Errors: 0 | Extracted: 1360 | Failed: 38
[PROGRESS] Pages: 480/750 done, 270 remaining | Live: 470 | Cached: 10 | Errors: 0 | Extracted: 1377 | Failed: 42
[PROGRESS] Pages: 490/750 done, 260 remaining | Live: 480 | Cached: 10 | Errors: 0 | Extracted: 1396 | Failed: 43
[PROGRESS] Pages: 500/750 done, 250 remaining | Live: 490 | Cached: 10 | Errors: 0 | Extracted: 1414 | Failed: 43
[PROGRESS] Pages: 510/750 done, 240 remaining | Live: 500 | Cached: 10 | Errors: 0 | Extracted: 1432 | Failed: 44
[PROGRESS] Pages: 520/750 done, 230 remaining | Live: 510 | Cached: 10 | Errors: 0 | Extracted: 1451 | Failed: 44
[PROGRESS] Pages: 530/750 done, 220 remaining | Live: 520 | Cached: 10 | Errors: 0 | Extracted: 1464 | Failed: 44
[PROGRESS] Pages: 540/750 done, 210 remaining | Live: 530 | Cached: 10 | Errors: 0 | Extracted: 1480 | Failed: 45
[PROGRESS] Pages: 550/750 done, 200 remaining | Live: 540 | Cached: 10 | Errors: 0 | Extracted: 1499 | Failed: 45
[PROGRESS] Pages: 560/750 done, 190 remaining | Live: 550 | Cached: 10 | Errors: 0 | Extracted: 1513 | Failed: 45
[PROGRESS] Pages: 570/750 done, 180 remaining | Live: 560 | Cached: 10 | Errors: 0 | Extracted: 1531 | Failed: 46
[PROGRESS] Pages: 580/750 done, 170 remaining | Live: 570 | Cached: 10 | Errors: 0 | Extracted: 1545 | Failed: 48
[PROGRESS] Pages: 590/750 done, 160 remaining | Live: 580 | Cached: 10 | Errors: 0 | Extracted: 1566 | Failed: 48
[PROGRESS] Pages: 600/750 done, 150 remaining | Live: 590 | Cached: 10 | Errors: 0 | Extracted: 1582 | Failed: 49
[PROGRESS] Pages: 610/750 done, 140 remaining | Live: 600 | Cached: 10 | Errors: 0 | Extracted: 1601 | Failed: 49
  PAGE FAIL [611/750]: https://www.preceptaustin.org/https://www.preceptaustin.org/1_corinthians_926_commentary -- 404 Client Error: Not Found for url: https://www.preceptaustin.org/https://www.preceptaustin.org/1_corinthians_926_commentary
[PROGRESS] Pages: 620/750 done, 130 remaining | Live: 609 | Cached: 10 | Errors: 1 | Extracted: 1614 | Failed: 51
[PROGRESS] Pages: 630/750 done, 120 remaining | Live: 619 | Cached: 10 | Errors: 1 | Extracted: 1632 | Failed: 51
[PROGRESS] Pages: 640/750 done, 110 remaining | Live: 629 | Cached: 10 | Errors: 1 | Extracted: 1647 | Failed: 53
[PROGRESS] Pages: 650/750 done, 100 remaining | Live: 639 | Cached: 10 | Errors: 1 | Extracted: 1661 | Failed: 55
[PROGRESS] Pages: 660/750 done, 90 remaining | Live: 649 | Cached: 10 | Errors: 1 | Extracted: 1672 | Failed: 56
[PROGRESS] Pages: 670/750 done, 80 remaining | Live: 659 | Cached: 10 | Errors: 1 | Extracted: 1687 | Failed: 56
[PROGRESS] Pages: 680/750 done, 70 remaining | Live: 669 | Cached: 10 | Errors: 1 | Extracted: 1701 | Failed: 56
[PROGRESS] Pages: 690/750 done, 60 remaining | Live: 679 | Cached: 10 | Errors: 1 | Extracted: 1718 | Failed: 56
[PROGRESS] Pages: 700/750 done, 50 remaining | Live: 689 | Cached: 10 | Errors: 1 | Extracted: 1728 | Failed: 56
[PROGRESS] Pages: 710/750 done, 40 remaining | Live: 699 | Cached: 10 | Errors: 1 | Extracted: 1736 | Failed: 59
[PROGRESS] Pages: 720/750 done, 30 remaining | Live: 709 | Cached: 10 | Errors: 1 | Extracted: 1749 | Failed: 59
[PROGRESS] Pages: 730/750 done, 20 remaining | Live: 719 | Cached: 10 | Errors: 1 | Extracted: 1759 | Failed: 61
[PROGRESS] Pages: 740/750 done, 10 remaining | Live: 729 | Cached: 10 | Errors: 1 | Extracted: 1770 | Failed: 61
[PROGRESS] Pages: 750/750 done, 0 remaining | Live: 739 | Cached: 10 | Errors: 1 | Extracted: 1779 | Failed: 62

============================================================
EXTRACTION SUMMARY (Step 1C)
  Total attempted: 1841
  Extracted successfully: 1779
  Failed/skipped: 62

QA report saved to /Users/alexwhitley/Desktop/rhemata/sources/precept_austin/qa_report.json
============================================================
